statement,label
Praia is a name of a country.,0
Thimphu is a name of a city.,1
Burma is a name of a country.,1
Yaren is a name of a country.,0
Transnistria is a name of a country.,1
Port Vila is a city in Vanuatu,1
Honiara is a name of a city.,1
Addis Ababa is a city in Bermuda,0
Panama City is a name of a country.,0
Malé is a city in Djibouti,0
Tiraspol is a city in Brunei,0
Anguilla is a name of a city.,0
Tarawa is a city in Kiribati,1
Bishkek is a name of a city.,1
Northern Mariana Islands is a name of a country.,1
Taipei is a city in Malta,0
Mali is a name of a city.,0
North Korea is a name of a city.,0
Tórshavn is a city in Spain,0
Lilongwe is a city in Malawi,1
China is a name of a city.,0
Laos is a name of a country.,1
Comoros is a name of a city.,0
Episkopi Cantonment is a city in Panama,0
Afghanistan is a name of a country.,1
Lesotho is a name of a country.,1
Tskhinvali is a name of a country.,0
Rome is a name of a country.,0
The Valley is a city in Zimbabwe,0
Haiti is a name of a country.,1
Saint Kitts and Nevis is a name of a country.,1
Spain is a name of a country.,1
Sukhumi is a name of a city.,1
George Town is a name of a country.,0
Nicosia is a city in Sahrawi Arab Democratic Republic ,0
London is a city in Indonesia,0
Havana is a name of a city.,1
Austria is a name of a city.,0
Samoa is a name of a city.,0
Saipan is a city in Kosovo,0
China is a name of a country.,1
Sweden is a name of a city.,0
Guam is a name of a city.,0
Malabo is a name of a city.,1
Athens is a name of a country.,0
Mbabane is a city in Turks and Caicos Islands,0
N'Djamena is a city in Iceland,0
Malabo is a name of a country.,0
Mexico City is a name of a country.,0
Kathmandu is a city in Jersey,0
Mexico is a name of a country.,1
Trinidad and Tobago is a name of a country.,1
Lilongwe is a city in Saint Lucia,0
Roseau is a name of a city.,1
Baghdad is a name of a city.,1
Saipan is a name of a city.,1
Dushanbe is a name of a city.,1
Dodoma is a city in Democratic Republic of the Congo,0
Uzbekistan is a name of a country.,1
Castries is a name of a country.,0
Nuku?alofa is a city in Tonga,1
Kigali is a name of a country.,0
Spain is a name of a city.,0
San Salvador is a city in Slovenia,0
Ankara is a city in Luxembourg,0
Port Louis is a name of a city.,1
Monrovia is a city in Namibia,0
Bern is a name of a city.,1
Ashgabat is a city in Guernsey,0
Washington D.C. is a name of a city.,1
Uruguay is a name of a country.,1
Seoul is a city in South Korea,1
Jamaica is a name of a city.,0
Managua is a city in Armenia,0
Lima is a name of a city.,1
Uruguay is a name of a city.,0
Paramaribo is a name of a city.,1
Sarajevo is a city in Mauritius,0
Marshall Islands is a name of a city.,0
Kiribati is a name of a city.,0
Fiji is a name of a country.,1
Ivory Coast is a name of a country.,1
Yaoundé is a city in Cameroon,1
Armenia is a name of a country.,1
Belmopan is a name of a city.,1
South Georgia and the South Sandwich Islands is a name of a city.,0
Equatorial Guinea is a name of a country.,1
Reykjavík is a name of a country.,0
Dili is a name of a city.,1
Somalia is a name of a country.,1
Tunisia is a name of a city.,0
Vilnius is a name of a city.,1
Ulan Bator is a city in Mongolia,1
Budapest is a name of a city.,1
Tuvalu is a name of a country.,1
Singapore is a city in Singapore,1
Bogotá is a city in Bulgaria,0
Tonga is a name of a city.,0
Andorra is a name of a country.,1
Ankara is a name of a country.,0
Morocco is a name of a city.,0
Beirut is a name of a country.,0
Saipan is a city in Northern Mariana Islands,1
St. George's is a name of a country.,0
Guyana is a name of a country.,1
Brasília is a name of a country.,0
Podgorica is a city in Cuba,0
Serbia is a name of a country.,1
Montenegro is a name of a country.,1
Bangui is a city in Central African Republic,1
Botswana is a name of a country.,1
Nicosia is a name of a city.,1
Niger is a name of a city.,0
Naypyidaw is a name of a country.,0
Riyadh is a city in Saudi Arabia,1
Gibraltar is a name of a city.,1
Kenya is a name of a country.,1
Sint Maarten is a name of a city.,0
Lusaka is a name of a country.,0
Russia is a name of a city.,0
Mozambique is a name of a country.,1
United Arab Emirates is a name of a city.,0
Djibouti is a name of a city.,0
Canada is a name of a country.,1
Sri Jayawardenepura Kotte is a city in Sri Lanka,1
Israel is a name of a city.,0
Benin is a name of a country.,1
Belgrade is a name of a city.,1
Tunis is a city in Nepal,0
Ulan Bator is a name of a city.,1
Paris is a name of a country.,0
Lusaka is a name of a city.,1
Nouméa is a city in New Caledonia,1
Ulan Bator is a name of a country.,0
Kingston is a name of a city.,1
Bangkok is a city in Moldova,0
Georgetown is a city in Ascension Island,1
Lilongwe is a name of a city.,1
Tbilisi is a city in Georgia,1
Guinea-Bissau is a name of a country.,1
Hagåtña is a name of a country.,0
Solomon Islands is a name of a country.,1
Dili is a city in Italy,0
Oranjestad is a city in Aruba,1
Tristan da Cunha is a name of a city.,0
American Samoa is a name of a country.,1
Juba is a city in Albania,0
Dakar is a city in Senegal,1
Astana is a name of a country.,0
Minsk is a city in Mozambique,0
Slovenia is a name of a country.,1
Lesotho is a name of a city.,0
Mexico City is a city in Mexico,1
Switzerland is a name of a country.,1
United States Virgin Islands is a name of a city.,0
Mbabane is a city in Swaziland,1
Rabat is a name of a city.,1
Tirana is a city in North Korea,0
Adamstown is a city in Hungary,0
Addis Ababa is a city in Uruguay,0
Sana'a is a city in Suriname,0
Tirana is a name of a country.,0
Rwanda is a name of a country.,1
Madrid is a name of a country.,0
Banjul is a city in Gambia,1
Sarajevo is a city in Bosnia and Herzegovina,1
Monaco is a name of a city.,0
San José is a name of a country.,0
Nuuk is a name of a country.,0
San Salvador is a name of a city.,1
Ecuador is a name of a country.,1
Banjul is a city in Norway,0
Puerto Rico is a name of a city.,0
Jakarta is a city in Indonesia,1
Willemstad is a name of a country.,0
Tirana is a name of a city.,1
Asunción is a city in New Caledonia,0
Poland is a name of a country.,1
Wellington is a city in Central African Republic,0
Amsterdam is a name of a country.,0
Santo Domingo is a name of a city.,1
Kingstown is a city in Saint Vincent and the Grenadines,1
Conakry is a city in Wallis and Futuna,0
Port Louis is a city in Latvia,0
Sarajevo is a name of a city.,1
Vaduz is a name of a city.,1
Brunei is a name of a city.,0
Portugal is a name of a country.,1
Nauru is a name of a city.,0
Philipsburg is a name of a city.,1
Tuvalu is a name of a city.,0
Suriname is a name of a country.,1
Jakarta is a name of a country.,0
Bissau is a name of a country.,0
Estonia is a name of a country.,1
Seoul is a name of a city.,1
Turks and Caicos Islands is a name of a country.,1
South Ossetia is a name of a city.,0
St. John's is a name of a city.,1
Santiago is a city in Chile,1
Senegal is a name of a city.,0
Praia is a name of a city.,1
Moscow is a name of a city.,1
Nicaragua is a name of a country.,1
Nicaragua is a name of a city.,0
Mbabane is a city in Antigua and Barbuda,0
Switzerland is a name of a city.,0
Manila is a name of a country.,0
Nagorno-Karabakh Republic is a name of a country.,1
Wallis and Futuna is a name of a city.,0
Taipei is a name of a country.,0
Maseru is a name of a country.,0
Podgorica is a name of a city.,1
East Timor is a name of a city.,0
Kathmandu is a name of a country.,0
Vientiane is a name of a city.,1
Honduras is a name of a country.,1
Jerusalem is a name of a city.,1
Pretoria is a city in Saint Kitts and Nevis,0
Port Vila is a name of a city.,1
Ireland is a name of a country.,1
Pago Pago is a name of a country.,0
Antananarivo is a name of a city.,1
St. John's is a city in Antigua and Barbuda,1
Minsk is a name of a country.,0
Bratislava is a name of a city.,1
Aruba is a name of a country.,1
Porto-Novo is a name of a country.,0
Mauritania is a name of a city.,0
Georgetown is a city in Guyana,1
Japan is a name of a city.,0
Norway is a name of a country.,1
Bermuda is a name of a city.,0
Norfolk Island is a name of a city.,0
Beijing is a city in China,1
Tskhinvali is a name of a city.,1
Angola is a name of a city.,0
Bangkok is a city in Thailand,1
Algiers is a city in Algeria,1
Port Moresby is a city in Barbados,0
Malaysia is a name of a country.,1
Adamstown is a name of a country.,0
Islamabad is a name of a city.,1
Panama is a name of a country.,1
Nairobi is a city in Kenya,1
Rabat is a city in Morocco,1
Niue is a name of a country.,1
Moldova is a name of a country.,1
Thimphu is a city in Bhutan,1
Guinea-Bissau is a name of a city.,0
Port of Spain is a city in Trinidad and Tobago,1
Papeete is a name of a city.,1
Dhaka is a city in Bangladesh,1
Caracas is a name of a city.,1
Togo is a name of a country.,1
Andorra la Vella is a name of a city.,1
Georgetown is a name of a country.,0
Oslo is a city in Norway,1
São Tomé and Príncipe is a name of a country.,1
Havana is a city in Cuba,1
Phnom Penh is a name of a city.,1
Port-au-Prince is a name of a city.,1
San Marino is a name of a city.,1
El Aaiún is a name of a city.,1
Santiago is a name of a country.,0
Slovakia is a name of a city.,0
Republic of the Congo is a name of a city.,0
Burkina Faso is a name of a country.,1
Funafuti is a city in Tuvalu,1
Beijing is a name of a city.,1
Yamoussoukro is a city in South Sudan,0
Accra is a city in Ghana,1
Majuro is a city in Algeria,0
Bamako is a city in Mali,1
Cook Islands is a name of a country.,1
Bucharest is a name of a country.,0
Oslo is a name of a city.,1
Willemstad is a name of a city.,1
Muscat is a city in American Samoa,0
Islamabad is a name of a country.,0
Swaziland is a name of a city.,0
St. George's is a city in Madagascar,0
Alofi is a name of a country.,0
Mongolia is a name of a city.,0
Honduras is a name of a city.,0
Morocco is a name of a country.,1
Pretoria is a city in South Africa,1
Mata-Utu is a name of a country.,0
Sana'a is a city in Monaco,0
Kingston is a name of a country.,0
Funafuti is a name of a country.,0
Basseterre is a city in Greece,0
Northern Cyprus is a name of a country.,1
Kingston is a name of a country.,0
Zimbabwe is a name of a city.,0
Oman is a name of a city.,0
Malé is a city in Chad,0
Rabat is a name of a country.,0
Asmara is a name of a city.,1
Bucharest is a city in Romania,1
Nigeria is a name of a city.,0
Indonesia is a name of a country.,1
Gambia is a name of a country.,1
Beirut is a city in Philippines,0
Amman is a name of a city.,1
Hamilton is a name of a city.,1
The Valley is a name of a country.,0
Bujumbura is a name of a country.,0
Hamilton is a city in Bermuda,1
Philipsburg is a city in Sint Maarten,1
Accra is a city in Sudan,0
Tripoli is a name of a country.,0
Lomé is a name of a city.,1
Prague is a city in Transnistria,0
Brazzaville is a name of a country.,0
Ghana is a name of a country.,1
Stanley is a city in Sint Maarten,0
Kuwait City is a name of a city.,1
Tegucigalpa is a city in Russia,0
George Town is a city in Libya,0
Tiraspol is a city in Transnistria,1
Qatar is a name of a country.,1
Asmara is a city in Belgium,0
Yerevan is a city in Sweden,0
Liechtenstein is a name of a country.,1
Majuro is a city in Mongolia,0
Apia is a city in Switzerland,0
Bangui is a city in Uganda,0
Copenhagen is a city in Denmark,1
United States Virgin Islands is a name of a country.,1
Naypyidaw is a city in Burma,1
Riyadh is a name of a country.,0
Beijing is a city in Palau,0
Rome is a city in Italy,1
Yamoussoukro is a city in Curaçao,0
Nauru is a name of a country.,1
Venezuela is a name of a country.,1
United Kingdom is a name of a country.,1
Road Town is a city in British Virgin Islands,1
Cuba is a name of a country.,1
Abu Dhabi is a name of a country.,0
Windhoek is a name of a city.,1
Dili is a city in Venezuela,0
Castries is a name of a city.,1
Dakar is a name of a city.,1
Beirut is a name of a city.,1
Bucharest is a city in Cook Islands,0
Tbilisi is a city in Akrotiri and Dhekelia,0
Taipei is a name of a city.,1
Amsterdam is a city in Netherlands,1
Doha is a name of a city.,1
Ukraine is a name of a country.,1
Argentina is a name of a city.,0
Budapest is a city in Saint Pierre and Miquelon,0
El Salvador is a name of a country.,1
Kuala Lumpur is a city in Dominica,0
Nagorno-Karabakh Republic is a name of a city.,0
Basseterre is a name of a country.,0
Port Moresby is a name of a country.,0
Nuuk is a city in Greenland,1
Ashgabat is a city in Turkmenistan,1
Japan is a name of a country.,1
Port Louis is a city in Mauritius,1
Kuwait City is a name of a country.,0
Saint Martin is a name of a country.,1
Asmara is a city in Chile,0
San José is a name of a city.,1
Jakarta is a city in Jamaica,0
New Zealand is a name of a city.,0
Flying Fish Cove is a city in Christmas Island,1
Montevideo is a city in Uruguay,1
Kathmandu is a city in Thailand,0
Tórshavn is a name of a city.,1
Algiers is a name of a country.,0
Tórshavn is a name of a country.,0
Maseru is a city in Lesotho,1
Brussels is a city in Mali,0
Hargeisa is a city in Somaliland,1
St. Helier is a city in Bahrain,0
Valletta is a name of a city.,1
Kampala is a name of a country.,0
Papua New Guinea is a name of a city.,0
Naypyidaw is a name of a city.,1
Praia is a city in Cape Verde,1
Tirana is a city in Albania,1
Mauritius is a name of a country.,1
Dominica is a name of a country.,1
San Juan is a city in Ethiopia,0
Taiwan is a name of a country.,1
Harare is a name of a country.,0
Cape Verde is a name of a country.,1
Hungary is a name of a country.,1
Mogadishu is a name of a country.,0
Niamey is a city in French Polynesia,0
Dublin is a name of a country.,0
Tanzania is a name of a city.,0
Estonia is a name of a city.,0
Albania is a name of a city.,0
Pakistan is a name of a country.,1
Honiara is a name of a country.,0
Yerevan is a city in Seychelles,0
Brasília is a city in Greenland,0
Vilnius is a city in Lithuania,1
Cook Islands is a name of a city.,0
Dodoma is a city in Tanzania,1
El Salvador is a name of a city.,0
Marigot is a city in Niger,0
Vienna is a city in Austria,1
Gabon is a name of a country.,1
Belgium is a name of a country.,1
Plymouth is a city in Montserrat,1
Abkhazia is a name of a country.,1
Douglas is a city in Isle of Man,1
Avarua is a city in Guam,0
Stanley is a city in Falkland Islands,1
Monaco is a name of a city.,1
Ankara is a city in Iran,0
Freetown is a name of a country.,0
Adamstown is a name of a city.,1
Manama is a name of a country.,0
Flying Fish Cove is a name of a country.,0
Jordan is a name of a country.,1
Malta is a name of a city.,0
Kuwait City is a city in Kuwait,1
Central African Republic is a name of a country.,1
Germany is a name of a city.,0
Charlotte Amalie is a city in United States Virgin Islands,1
Funafuti is a name of a city.,1
Ashgabat is a name of a country.,0
Dublin is a name of a city.,1
Sana'a is a name of a city.,1
Malawi is a name of a country.,1
Pyongyang is a city in North Korea,1
Nouakchott is a city in Cameroon,0
Slovakia is a name of a country.,1
Thailand is a name of a country.,1
São Tomé is a city in Puerto Rico,0
Vatican City is a name of a country.,0
Bermuda is a name of a country.,1
Stepanakert is a name of a city.,1
Singapore is a city in Slovakia,0
São Tomé is a name of a country.,0
Fiji is a name of a city.,0
South Sudan is a name of a city.,0
The Valley is a name of a city.,1
Berlin is a city in Vanuatu,0
Dili is a name of a country.,0
Gaborone is a city in Botswana,1
Baghdad is a city in Iraq,1
Tbilisi is a city in Israel,0
British Virgin Islands is a name of a country.,1
Belgrade is a city in Serbia,1
French Polynesia is a name of a city.,0
Episkopi Cantonment is a name of a country.,0
Doha is a name of a country.,0
Ouagadougou is a city in Haiti,0
Barbados is a name of a city.,0
Malabo is a city in Ivory Coast,0
Sucre is a city in Bolivia,1
Djibouti is a name of a country.,1
Kigali is a city in Rwanda,1
Madagascar is a name of a city.,0
Montevideo is a name of a city.,1
Damascus is a name of a country.,0
Warsaw is a city in Dominican Republic,0
Malé is a name of a city.,1
Kampala is a name of a city.,1
Australia is a name of a country.,1
Addis Ababa is a name of a country.,0
Tripoli is a city in Marshall Islands,0
Moroni is a name of a country.,0
Vatican City is a city in Gibraltar,0
Sudan is a name of a country.,1
Oslo is a name of a country.,0
Sucre is a city in Ukraine,0
Belgrade is a city in Guinea-Bissau,0
Niamey is a city in Niger,1
Apia is a name of a city.,1
Pyongyang is a name of a country.,0
The Valley is a city in Anguilla,1
West Island is a city in Belize,0
Hanga Roa is a city in Easter Island,1
Nigeria is a name of a country.,1
Ethiopia is a name of a country.,1
Tiraspol is a name of a country.,0
Belgium is a name of a city.,0
Plymouth is a name of a country.,0
Antananarivo is a name of a country.,0
Belize is a name of a country.,1
Grytviken is a name of a city.,1
Warsaw is a city in South Georgia and the South Sandwich Islands,0
Mbabane is a city in Kenya,0
Seychelles is a name of a city.,0
Georgia is a name of a country.,1
San Marino is a name of a country.,1
Harare is a city in Zimbabwe,1
Tashkent is a city in Uzbekistan,1
Kingstown is a name of a country.,0
Conakry is a city in Guinea,1
Kingstown is a city in Fiji,0
Quito is a city in Ecuador,1
Monrovia is a city in Liberia,1
Sint Maarten is a name of a country.,1
Bandar Seri Begawan is a name of a country.,0
Montserrat is a name of a country.,1
Zagreb is a city in Croatia,1
Kigali is a city in Serbia,0
Libreville is a name of a city.,1
Porto-Novo is a name of a city.,1
Isle of Man is a name of a city.,0
Swaziland is a name of a country.,1
Maputo is a name of a country.,0
George Town is a city in Cayman Islands,1
Mongolia is a name of a country.,1
Managua is a city in Nicaragua,1
San Marino is a name of a city.,0
Germany is a name of a country.,1
Sri Jayawardenepura Kotte is a city in United Arab Emirates,0
Rwanda is a name of a city.,0
Nairobi is a name of a city.,1
Monrovia is a name of a country.,0
Hargeisa is a name of a city.,1
Mogadishu is a name of a city.,1
South Korea is a name of a country.,1
Kiev is a city in Ukraine,1
Tirana is a city in Japan,0
Jamestown is a city in Honduras,0
Chile is a name of a country.,1
Italy is a name of a country.,1
Stockholm is a name of a country.,0
Guatemala is a name of a city.,0
Stockholm is a city in India,0
Lusaka is a city in Zambia,1
São Tomé is a name of a city.,1
Helsinki is a city in Finland,1
Saint Pierre and Miquelon is a name of a country.,1
Harare is a name of a city.,1
Grenada is a name of a country.,1
Kingston is a city in Jamaica,1
Juba is a city in Benin,0
Ljubljana is a name of a city.,1
Somaliland is a name of a country.,1
Hanga Roa is a name of a country.,0
Sri Jayawardenepura Kotte is a name of a city.,1
Cairo is a city in Egypt,1
Astana is a city in Canada,0
Canberra is a name of a country.,0
Malabo is a city in Equatorial Guinea,1
Costa Rica is a name of a country.,1
Malaysia is a name of a city.,0
Skopje is a name of a country.,0
United Kingdom is a name of a city.,0
Angola is a name of a country.,1
Amsterdam is a name of a city.,1
Sukhumi is a city in Abkhazia,1
Liechtenstein is a name of a city.,0
Sweden is a name of a country.,1
Guyana is a name of a city.,0
St. Helier is a name of a city.,1
Stepanakert is a name of a country.,0
Nassau is a name of a country.,0
Brazil is a name of a city.,0
Tegucigalpa is a name of a city.,1
Astana is a city in Kazakhstan,1
Dili is a city in East Timor,1
Singapore is a name of a country.,0
Palikir is a city in Federated States of Micronesia,1
Bhutan is a name of a country.,1
Episkopi Cantonment is a city in Aruba,0
Oranjestad is a name of a country.,0
Tunis is a city in Ecuador,0
Malta is a name of a country.,1
Lomé is a name of a country.,0
Stanley is a name of a city.,1
Honiara is a city in Solomon Islands,1
Philipsburg is a name of a country.,0
Tskhinvali is a city in New Zealand,0
Pristina is a city in Kosovo,1
Oman is a name of a country.,1
Kuwait City is a city in Swaziland,0
India is a name of a country.,1
Ljubljana is a name of a country.,0
Vietnam is a name of a city.,0
Ulan Bator is a city in Cocos Islands,0
Vaduz is a name of a country.,0
Alofi is a city in Niue,1
Nouakchott is a city in Bolivia,0
Bissau is a city in Sri Lanka,0
Turkmenistan is a name of a country.,1
Tashkent is a city in Cape Verde,0
San Salvador is a city in Maldives,0
São Tomé is a city in São Tomé and Príncipe,1
Benin is a name of a city.,0
Cambodia is a name of a country.,1
Tripoli is a city in Senegal,0
Brazzaville is a city in Republic of the Congo,1
Gibraltar is a city in Kuwait,0
Singapore is a name of a city.,0
Federated States of Micronesia is a name of a city.,0
Sri Jayawardenepura Kotte is a city in Yemen,0
Algiers is a name of a city.,1
Bamako is a name of a country.,0
Egypt is a name of a city.,0
Guam is a name of a country.,1
Dodoma is a name of a city.,1
Marigot is a city in Jordan,0
Curaçao is a name of a city.,0
Comoros is a name of a country.,1
Sofia is a name of a city.,1
Tbilisi is a city in Turkey,0
Doha is a city in Iraq,0
Phnom Penh is a name of a country.,0
Nuku?alofa is a name of a city.,1
Tirana is a city in Faroe Islands,0
Georgetown is a name of a city.,1
Adamstown is a city in Pitcairn Islands,1
Port Vila is a city in Nicaragua,0
Yamoussoukro is a name of a city.,1
Pristina is a name of a country.,0
Bridgetown is a city in Barbados,1
Panama City is a name of a city.,1
Republic of the Congo is a name of a country.,1
Chad is a name of a city.,0
Russia is a name of a country.,1
Avarua is a city in Nigeria,0
Luxembourg is a name of a country.,0
Djibouti is a name of a city.,1
Cockburn Town is a city in Turks and Caicos Islands,1
Luanda is a name of a country.,0
Tallinn is a name of a country.,0
Luxembourg is a name of a city.,0
Vietnam is a name of a country.,1
New Delhi is a name of a country.,0
Ashgabat is a name of a city.,1
Algeria is a name of a country.,1
Bratislava is a city in Slovakia,1
Monaco is a city in Monaco,1
Saint Helena is a name of a city.,0
Grytviken is a name of a country.,0
Skopje is a city in Macedonia,1
San José is a city in Costa Rica,1
New Delhi is a city in India,1
Helsinki is a name of a country.,0
Slovenia is a name of a city.,0
Ouagadougou is a city in Burkina Faso,1
Quito is a name of a country.,0
Freetown is a name of a city.,1
London is a city in United Kingdom,1
Yamoussoukro is a name of a country.,0
Nouakchott is a city in Lebanon,0
Porto-Novo is a city in Norfolk Island,0
Democratic Republic of the Congo is a name of a city.,0
Belarus is a name of a city.,0
Thimphu is a city in Qatar,0
Finland is a name of a city.,0
French Guiana is a name of a country.,1
Algeria is a name of a city.,0
Prague is a name of a country.,0
Washington D.C. is a city in United States,1
N'Djamena is a city in Eritrea,0
Malé is a name of a country.,0
Manila is a city in Philippines,1
Avarua is a name of a city.,1
Madagascar is a name of a country.,1
Taipei is a city in Taiwan,1
Botswana is a name of a city.,0
Greenland is a name of a country.,1
Asunción is a name of a country.,0
Ouagadougou is a name of a country.,0
Djibouti is a city in Djibouti,1
San Juan is a city in Puerto Rico,1
Kiev is a name of a country.,0
Khartoum is a city in Sudan,1
Kingston is a name of a city.,1
Kuala Lumpur is a city in Croatia,0
Hungary is a name of a city.,0
Tashkent is a name of a country.,0
Yerevan is a name of a country.,0
Maputo is a name of a city.,1
Indonesia is a name of a city.,0
Antananarivo is a city in Anguilla,0
Solomon Islands is a name of a city.,0
Cyprus is a name of a city.,0
Sudan is a name of a city.,0
Havana is a name of a country.,0
St. Pierre is a city in Saint Pierre and Miquelon,1
Porto-Novo is a city in Benin,1
Stockholm is a city in Sweden,1
Freetown is a city in Lesotho,0
Marigot is a name of a country.,0
New Caledonia is a name of a city.,0
Abuja is a name of a country.,0
Tbilisi is a city in Cayman Islands,0
Pago Pago is a name of a city.,1
Poland is a name of a city.,0
Bangkok is a name of a country.,0
Iraq is a name of a country.,1
Tanzania is a name of a country.,1
Riga is a name of a country.,0
Warsaw is a name of a city.,1
Vientiane is a city in Laos,1
Lilongwe is a name of a country.,0
N'Djamena is a name of a country.,0
Antigua and Barbuda is a name of a country.,1
Kosovo is a name of a city.,0
Monrovia is a name of a city.,1
Tallinn is a city in Estonia,1
Kuala Lumpur is a name of a city.,1
Roseau is a name of a country.,0
Latvia is a name of a country.,1
Andorra la Vella is a city in Andorra,1
Iran is a name of a country.,1
Liberia is a name of a country.,1
Baku is a name of a city.,1
Manila is a name of a city.,1
Windhoek is a name of a country.,0
Pyongyang is a name of a city.,1
Macedonia is a name of a country.,1
Burkina Faso is a name of a city.,0
Dushanbe is a name of a country.,0
Port Moresby is a name of a city.,1
Caracas is a city in Venezuela,1
Kosovo is a name of a country.,1
New Delhi is a name of a city.,1
Libya is a name of a country.,1
Brasília is a name of a city.,1
Prague is a city in Cyprus,0
Saint Vincent and the Grenadines is a name of a country.,1
Turkey is a name of a city.,0
Monaco is a name of a country.,0
Madrid is a city in Burundi,0
